row,cluster
2578,4
2579,11
2580,9
2581,11
2582,9
2583,8
2584,9
2585,9
2586,10
2587,6
2588,3
2589,5
2590,9
2591,6
2592,11
2593,8
2594,10
2595,7
2596,5
2597,5
2598,9
2599,10
2600,2
2601,2
2602,1
2603,8
2604,4
2605,10
2606,0
2607,10
2608,5
2609,3
2610,9
2611,8
2612,0
2613,10
2614,5
2615,9
2616,2
2617,8
2618,5
2619,9
2620,5
2621,5
2622,8
2623,11
2624,8
2625,9
2626,5
2627,6
2628,10
2629,10
2630,5
2631,0
2632,2
2633,9
2634,0
2635,8
2636,5
2637,0
2638,0
2639,5
2640,2
2641,4
2642,2
2643,8
2644,6
2645,1
2646,5
2647,11
2648,10
2649,10
2650,11
2651,8
2652,5
2653,10
2654,10
2655,4
2656,6
2657,5
2658,1
2659,8
2660,4
2661,9
2662,9
2663,2
2664,1
2665,6
2666,10
2667,2
2668,2
2669,10
2670,2
2671,11
2672,0
2673,4
2674,2
2675,3
2676,11
2677,2
2678,10
2679,3
2680,3
2681,4
2682,4
2683,5
2684,6
2685,8
2686,8
2687,10
2688,2
2689,10
2690,4
2691,0
2692,2
2693,2
2694,3
2695,5
2696,6
2697,5
2698,11
2699,5
2700,7
2701,1
2702,0
2703,4
2704,5
2705,8
2706,4
2707,10
2708,4
2709,3
2710,5
2711,0
2712,1
2713,7
2714,10
2715,3
2716,2
2717,2
2718,7
2719,4
2720,11
2721,5
2722,11
2723,11
2724,10
2725,2
2726,11
2727,9
2728,2
2729,4
2730,6
2731,8
2732,4
2733,0
2734,4
2735,8
2736,10
2737,2
2738,9
2739,9
2740,1
2741,5
2742,6
2743,10
2744,4
2745,0
2746,10
2747,8
2748,4
2749,6
2750,1
2751,9
2752,5
2753,0
2754,6
2755,1
2756,9
2757,11
2758,9
2759,10
2760,9
2761,2
2762,4
2763,5
2764,0
2765,9
2766,3
2767,10
2768,11
2769,9
2770,0
2771,9
2772,9
2773,10
2774,5
2775,4
2776,8
2777,10
2778,10
2779,1
2780,4
2781,0
2782,2
2783,6
2784,0
2785,1
2786,5
2787,4
2788,4
2789,7
2790,0
2791,2
2792,9
2793,3
2794,5
2795,8
2796,6
2797,2
2798,0
2799,11
2800,3
2801,4
2802,8
2803,11
2804,4
2805,10
2806,5
2807,2
2808,11
2809,6
2810,8
2811,5
2812,1
2813,9
2814,2
2815,2
2816,5
2817,5
2818,9
2819,9
2820,1
2821,9
2822,10
2823,6
2824,10
2825,0
2826,2
2827,0
2828,8
2829,8
2830,5
2831,8
2832,9
2833,5
2834,9
2835,2
2836,11
2837,6
2838,10
2839,1
2840,0
2841,1
2842,4
2843,9
2844,8
2845,10
2846,9
2847,0
2848,5
2849,9
2850,2
2851,1
2852,2
2853,5
2854,1
2855,1
2856,2
2857,11
2858,2
2859,11
2860,2
2861,9
2862,10
2863,8
2864,4
2865,10
2866,9
2867,0
2868,11
2869,11
2870,0
2871,0
2872,9
2873,9
2874,2
2875,10
2876,10
2877,5
2878,2
2879,2
2880,9
2881,2
2882,5
2883,0
2884,9
2885,5
2886,8
2887,11
2888,8
2889,11
2890,11
2891,2
2892,5
2893,11
2894,2
2895,10
2896,2
2897,7
2898,10
2899,6
2900,8
2901,1
2902,11
2903,4
2904,4
2905,4
2906,9
2907,4
2908,0
2909,6
2910,2
2911,11
2912,8
2913,8
2914,11
2915,10
2916,9
2917,11
2918,0
2919,0
2920,5
2921,11
2922,6
2923,0
2924,11
2925,10
2926,0
2927,9
2928,2
2929,0
2930,1
2931,11
2932,2
2933,1
2934,9
2935,4
2936,4
2937,10
2938,0
2939,10
2940,1
2941,7
2942,1
2943,9
2944,4
2945,9
2946,9
2947,4
2948,1
2949,2
2950,10
2951,5
2952,6
2953,5
2954,11
2955,2
2956,10
2957,10
2958,2
2959,6
2960,6
2961,10
2962,10
2963,9
2964,9
2965,5
2966,1
2967,8
2968,5
2969,9
2970,8
2971,11
2972,9
2973,8
2974,1
2975,11
2976,10
2977,11
2978,8
2979,1
2980,1
2981,8
2982,8
2983,0
2984,6
2985,5
2986,9
2987,10
2988,4
2989,2
2990,5
2991,5
2992,2
2993,2
2994,2
